Date,West Bengal,prediction
2019-03-07,118.4,128.71017602430618
2019-04-07,82.4,117.68469244204901
2019-05-07,95.1,85.48645164925358
2019-06-07,99.8,97.53498864196362
2019-07-07,93.3,99.79160823002765
2019-08-07,97.8,84.43368318967619
2019-09-07,110.8,98.4381448461746
2019-10-07,111.2,103.64250995574277
2019-11-07,114.1,111.44086705233079
2019-12-07,112.6,111.43408515862086
2019-07-13,114.2,114.02369374698513
2019-07-14,113.9,116.33930273453865
2019-07-15,102.9,123.167435046014
2019-07-16,129.3,99.62140151167381
2019-07-17,144.4,133.124912796297
2019-07-18,148.9,147.12666662642312
2019-07-19,136.7,148.0180005531796
2019-07-20,136.4,128.57226044276783
2019-07-21,140.5,137.80712802833537
2019-07-22,137.4,133.7774460782412
2019-07-23,120.4,137.97927617327468
2019-07-24,127.1,117.8575772305511
2019-07-25,116.3,128.6419189948615
2019-07-26,137.0,118.59466757776289
2019-07-27,139.4,144.9787539006858
2019-07-28,139.5,138.44065914082086
2019-07-29,131.2,144.00958685721363
2019-07-30,187.7,134.02902758389232
2019-07-31,176.5,186.10038131777148
2019-01-08,192.0,168.78798255597096
2019-02-08,184.5,193.4833156137958
2019-03-08,175.3,177.9580476360337
2019-04-08,170.0,174.66281796534034
2019-05-08,163.8,168.07626758038273
2019-06-08,149.0,164.54260565912494
2019-07-08,157.7,152.5097947941787
2019-08-08,148.2,165.49266264442784
2019-09-08,75.1,147.05698808314494
2019-10-08,51.5,78.68290561171372
2019-11-08,78.3,57.787246418156066
2019-12-08,102.9,76.1767652060333
2019-08-13,121.0,96.62194784179482
2019-08-14,125.4,121.87778512273013
2019-08-15,124.2,118.65428469279352
2019-08-16,124.8,123.41188979739897
2019-08-17,130.0,122.52000501327946
2019-08-18,124.9,129.88844006863695
2019-08-19,113.2,128.57208439921686
2019-08-20,109.9,119.97364047491345
2019-08-21,112.9,104.29837073362327
2019-08-22,111.2,114.91247187243434
2019-08-23,112.4,118.29207264258632
2019-08-24,109.4,112.01202216862143
2019-08-25,112.6,104.42780748173936
2019-08-26,104.1,113.77270538921105
2019-08-27,175.3,97.7196531773625
2019-08-28,174.9,174.63927537191643
2019-08-29,164.1,173.11842305472575
2019-08-30,172.8,163.8286564058624
2019-08-31,183.4,175.51606002891285
2019-01-09,176.2,189.72754525623864
2019-02-09,162.8,171.72967140489675
2019-03-09,129.0,164.8289072107921
2019-04-09,142.0,135.56170648886308
2019-05-09,142.2,141.22708085595514
2019-06-09,141.3,137.49870359955648
2019-07-09,140.2,141.87055240460046
2019-08-09,135.2,138.36285118092286
2019-09-09,181.7,134.54308129745135
2019-10-09,180.8,179.32038499834715
2019-11-09,183.8,181.08274992587369
2019-12-09,194.7,187.09677704434645
2019-09-13,188.9,200.34793232570425
2019-09-14,190.0,183.85359067402547
2019-09-15,182.7,190.02818438021637
2019-09-16,171.1,189.67683576671288
2019-09-17,178.0,170.4028751636689
2019-09-18,162.6,173.44177525145068
2019-09-19,170.5,163.1592877705702
2019-09-20,166.0,167.80985250758437
2019-09-21,164.3,168.01925015931292
2019-09-22,155.0,162.0820562337043
2019-09-23,141.5,155.35362008182446
2019-09-24,148.2,145.1448877282639
2019-09-25,141.6,153.34086435262472
2019-09-26,154.3,136.9664448563875
2019-09-27,161.1,154.23964184608565
2019-09-28,164.8,167.0062666126828
2019-09-29,156.5,164.50971200885581
2019-09-30,114.3,151.31565351928077
2019-01-10,116.8,115.27568238964852
2019-02-10,121.4,114.03225707406257
2019-03-10,117.2,122.80595120394872
2019-04-10,121.5,114.58294687586205
2019-05-10,122.6,121.0995881718788
2019-06-10,111.0,126.33890595103924
2019-07-10,174.5,115.62336989681027
2019-08-10,157.1,170.7264992928678
2019-09-10,166.7,157.46770314869107
2019-10-10,184.1,172.65146275615353
2019-11-10,192.9,183.32157222007885
2019-12-10,192.9,185.86031547422004
2019-10-13,172.0,193.89212729737918
2019-10-14,110.9,169.63626711064492
2019-10-15,113.8,112.03933478379969
2019-10-16,111.2,111.60885707901424
2019-10-17,113.8,110.9966658859181
2019-10-18,115.0,116.7314854205217
2019-10-19,116.0,122.72124765968151
2019-10-20,107.4,111.38159592579044
2019-10-21,164.8,108.17794768251369
2019-10-22,150.5,171.35448074414853
2019-10-23,152.2,150.2780647117814
2019-10-24,138.2,145.8424982486589
2019-10-25,157.1,138.06481404928903
2019-10-26,151.0,151.6847986904759
2019-10-27,144.9,152.27810507910488
2019-10-28,130.3,142.62821986228823
2019-10-29,143.3,130.22256066943103
2019-10-30,151.4,146.28027394600252
2019-10-31,137.6,158.27635688414185
2019-01-11,127.2,132.90355719987133
2019-02-11,130.9,130.68214728479205
2019-03-11,125.8,136.3285532891307
2019-04-11,109.0,125.58943927346665
2019-05-11,115.2,102.20791280671034
2019-06-11,115.8,116.19268933419082
2019-07-11,112.3,110.8644814786321
2019-08-11,117.8,113.20018520869147
2019-09-11,115.7,114.92476396610678
2019-10-11,106.1,116.22113798598883
2019-11-11,137.9,109.34068915187349
2019-12-11,148.7,143.84511225959767
2019-11-13,153.4,143.76771763470055
2019-11-14,156.5,156.39544830308841
2019-11-15,143.7,161.60865236368508
2019-11-16,142.6,142.68118470765899
2019-11-17,133.5,136.4935577470766
2019-11-18,118.7,134.3088822306855
2019-11-19,126.9,113.84363288589952
2019-11-20,128.7,128.08394544128603
2019-11-21,129.3,125.96980416068394
2019-11-22,130.4,129.23812050759858
2019-11-23,124.7,134.91638906061
2019-11-24,114.6,131.0516230305674
2019-11-25,186.0,110.16349442743828
2019-11-26,186.4,188.9937870360281
2019-11-27,184.3,190.77472464517723
2019-11-28,168.4,183.42292151081284
2019-11-29,190.8,162.0416883274368
2019-11-30,180.4,190.88909887002342
2019-01-12,177.0,176.13481646766618
2019-02-12,131.3,178.17263925601281
2019-03-12,120.0,128.71797108884812
2019-04-12,138.7,120.07824220263153
2019-05-12,140.3,142.50597129426268
2019-06-12,143.5,145.87166443042233
2019-07-12,145.2,142.38556679544894
2019-08-12,151.7,148.07630421614425
2019-09-12,119.7,155.94224114838377
2019-10-12,120.9,118.15020088912787
2019-11-12,123.3,115.85868489744172
2019-12-12,122.5,123.05523233634133
